Date,Block,Daily_Rainfall_mm
01-01-2012,Ammapettai,0.0
02-01-2012,Ammapettai,0.0
03-01-2012,Ammapettai,0.0
04-01-2012,Ammapettai,1.217
05-01-2012,Ammapettai,0.0
06-01-2012,Ammapettai,0.0
07-01-2012,Ammapettai,0.0
08-01-2012,Ammapettai,7.2518
09-01-2012,Ammapettai,0.0
10-01-2012,Ammapettai,0.0
11-01-2012,Ammapettai,0.0
12-01-2012,Ammapettai,0.0
13-01-2012,Ammapettai,0.0
14-01-2012,Ammapettai,0.0
15-01-2012,Ammapettai,0.0
16-01-2012,Ammapettai,0.0
17-01-2012,Ammapettai,0.0
18-01-2012,Ammapettai,0.0
19-01-2012,Ammapettai,0.0
20-01-2012,Ammapettai,0.0
21-01-2012,Ammapettai,0.0
22-01-2012,Ammapettai,0.0
23-01-2012,Ammapettai,0.4001
24-01-2012,Ammapettai,0.0
25-01-2012,Ammapettai,0.0
26-01-2012,Ammapettai,0.0
27-01-2012,Ammapettai,0.0
28-01-2012,Ammapettai,0.0
29-01-2012,Ammapettai,0.0
30-01-2012,Ammapettai,0.0
31-01-2012,Ammapettai,2.0159
01-02-2012,Ammapettai,0.0
02-02-2012,Ammapettai,0.0
03-02-2012,Ammapettai,0.0
04-02-2012,Ammapettai,0.0
05-02-2012,Ammapettai,1.2476
06-02-2012,Ammapettai,0.0
07-02-2012,Ammapettai,0.0
08-02-2012,Ammapettai,0.0
09-02-2012,Ammapettai,0.0
10-02-2012,Ammapettai,0.145
11-02-2012,Ammapettai,0.0
12-02-2012,Ammapettai,0.0
13-02-2012,Ammapettai,0.0
14-02-2012,Ammapettai,0.0
15-02-2012,Ammapettai,0.0
16-02-2012,Ammapettai,0.0
17-02-2012,Ammapettai,0.0
18-02-2012,Ammapettai,0.0
19-02-2012,Ammapettai,0.0
20-02-2012,Ammapettai,0.0
21-02-2012,Ammapettai,0.0
22-02-2012,Ammapettai,0.5039
23-02-2012,Ammapettai,0.0
24-02-2012,Ammapettai,0.0
25-02-2012,Ammapettai,1.0175
26-02-2012,Ammapettai,0.0
27-02-2012,Ammapettai,0.0
28-02-2012,Ammapettai,0.0
29-02-2012,Ammapettai,0.0
01-03-2012,Ammapettai,0.0
02-03-2012,Ammapettai,0.0
03-03-2012,Ammapettai,0.0
04-03-2012,Ammapettai,0.0
05-03-2012,Ammapettai,0.0
06-03-2012,Ammapettai,0.0
07-03-2012,Ammapettai,0.0022
08-03-2012,Ammapettai,0.0
09-03-2012,Ammapettai,0.0
10-03-2012,Ammapettai,0.0
11-03-2012,Ammapettai,0.0
12-03-2012,Ammapettai,12.4616
13-03-2012,Ammapettai,2.4127
14-03-2012,Ammapettai,0.0
15-03-2012,Ammapettai,0.0
16-03-2012,Ammapettai,0.0
17-03-2012,Ammapettai,0.0
18-03-2012,Ammapettai,0.0
19-03-2012,Ammapettai,0.0
20-03-2012,Ammapettai,0.0
21-03-2012,Ammapettai,0.0
22-03-2012,Ammapettai,0.0
23-03-2012,Ammapettai,0.0
24-03-2012,Ammapettai,0.0
25-03-2012,Ammapettai,0.0
26-03-2012,Ammapettai,0.0
27-03-2012,Ammapettai,2.4509
28-03-2012,Ammapettai,0.0
29-03-2012,Ammapettai,0.0
30-03-2012,Ammapettai,0.0
31-03-2012,Ammapettai,4.5075
01-04-2012,Ammapettai,0.0
02-04-2012,Ammapettai,0.0
03-04-2012,Ammapettai,0.0
04-04-2012,Ammapettai,0.0
05-04-2012,Ammapettai,0.0
06-04-2012,Ammapettai,0.0
07-04-2012,Ammapettai,0.0
08-04-2012,Ammapettai,0.0
09-04-2012,Ammapettai,0.0
10-04-2012,Ammapettai,0.0
11-04-2012,Ammapettai,0.4267
12-04-2012,Ammapettai,0.6969
13-04-2012,Ammapettai,0.0
14-04-2012,Ammapettai,0.9513
15-04-2012,Ammapettai,1.6493
16-04-2012,Ammapettai,0.0
17-04-2012,Ammapettai,0.0
18-04-2012,Ammapettai,0.0
19-04-2012,Ammapettai,0.5905
20-04-2012,Ammapettai,0.8681
21-04-2012,Ammapettai,0.6095
22-04-2012,Ammapettai,0.0
23-04-2012,Ammapettai,2.0007
24-04-2012,Ammapettai,13.8181
25-04-2012,Ammapettai,1.445
26-04-2012,Ammapettai,0.0
27-04-2012,Ammapettai,0.0
28-04-2012,Ammapettai,0.0
29-04-2012,Ammapettai,0.0
30-04-2012,Ammapettai,2.6683
01-05-2012,Ammapettai,3.0313
02-05-2012,Ammapettai,0.0
03-05-2012,Ammapettai,0.0
04-05-2012,Ammapettai,0.8344
05-05-2012,Ammapettai,6.0626
06-05-2012,Ammapettai,0.0
07-05-2012,Ammapettai,0.0
08-05-2012,Ammapettai,7.2471
09-05-2012,Ammapettai,0.0
10-05-2012,Ammapettai,3.6035
11-05-2012,Ammapettai,0.0
12-05-2012,Ammapettai,0.0
13-05-2012,Ammapettai,0.0
14-05-2012,Ammapettai,14.915
15-05-2012,Ammapettai,6.2756
16-05-2012,Ammapettai,0.0
17-05-2012,Ammapettai,3.1555
18-05-2012,Ammapettai,0.0
19-05-2012,Ammapettai,0.0
20-05-2012,Ammapettai,0.0
21-05-2012,Ammapettai,0.0
22-05-2012,Ammapettai,0.0
23-05-2012,Ammapettai,0.0
24-05-2012,Ammapettai,0.0
25-05-2012,Ammapettai,0.0
26-05-2012,Ammapettai,1.4957
27-05-2012,Ammapettai,0.0
28-05-2012,Ammapettai,3.819
29-05-2012,Ammapettai,0.0
30-05-2012,Ammapettai,0.0957
31-05-2012,Ammapettai,6.2022
01-06-2012,Ammapettai,0.0
02-06-2012,Ammapettai,0.0
03-06-2012,Ammapettai,0.0
04-06-2012,Ammapettai,0.0
05-06-2012,Ammapettai,0.0
06-06-2012,Ammapettai,1.3917
07-06-2012,Ammapettai,0.0
08-06-2012,Ammapettai,0.0
09-06-2012,Ammapettai,0.0
10-06-2012,Ammapettai,1.2354
11-06-2012,Ammapettai,0.0597
12-06-2012,Ammapettai,0.0
13-06-2012,Ammapettai,0.0
14-06-2012,Ammapettai,0.0
15-06-2012,Ammapettai,0.0
16-06-2012,Ammapettai,4.8157
17-06-2012,Ammapettai,7.9941
18-06-2012,Ammapettai,3.8564
19-06-2012,Ammapettai,0.0
20-06-2012,Ammapettai,1.1382
21-06-2012,Ammapettai,1.6021
22-06-2012,Ammapettai,0.0
23-06-2012,Ammapettai,0.0
24-06-2012,Ammapettai,0.0
25-06-2012,Ammapettai,0.0
26-06-2012,Ammapettai,1.8251
27-06-2012,Ammapettai,1.7173
28-06-2012,Ammapettai,1.8946
29-06-2012,Ammapettai,0.0
30-06-2012,Ammapettai,0.0
01-07-2012,Ammapettai,2.2951
02-07-2012,Ammapettai,1.13
03-07-2012,Ammapettai,0.0
04-07-2012,Ammapettai,0.0
05-07-2012,Ammapettai,0.0
06-07-2012,Ammapettai,0.0
07-07-2012,Ammapettai,0.0
08-07-2012,Ammapettai,0.0
09-07-2012,Ammapettai,0.0039
10-07-2012,Ammapettai,1.1202
11-07-2012,Ammapettai,0.0
12-07-2012,Ammapettai,0.0
13-07-2012,Ammapettai,3.7107
14-07-2012,Ammapettai,5.9609
15-07-2012,Ammapettai,5.7276
16-07-2012,Ammapettai,2.1349
17-07-2012,Ammapettai,0.0
18-07-2012,Ammapettai,0.0
19-07-2012,Ammapettai,0.0
20-07-2012,Ammapettai,1.6539
21-07-2012,Ammapettai,0.2452
22-07-2012,Ammapettai,0.8448
23-07-2012,Ammapettai,0.0
24-07-2012,Ammapettai,0.0
25-07-2012,Ammapettai,0.0
26-07-2012,Ammapettai,1.2218
27-07-2012,Ammapettai,5.339
28-07-2012,Ammapettai,3.9255
29-07-2012,Ammapettai,0.0
30-07-2012,Ammapettai,0.0
31-07-2012,Ammapettai,0.0
01-08-2012,Ammapettai,0.0
02-08-2012,Ammapettai,0.0
03-08-2012,Ammapettai,0.0
04-08-2012,Ammapettai,9.4351
05-08-2012,Ammapettai,0.0
06-08-2012,Ammapettai,0.0
07-08-2012,Ammapettai,0.0
08-08-2012,Ammapettai,12.3901
09-08-2012,Ammapettai,5.1415
10-08-2012,Ammapettai,0.0
11-08-2012,Ammapettai,0.0
12-08-2012,Ammapettai,0.0
13-08-2012,Ammapettai,0.0
14-08-2012,Ammapettai,14.8631
15-08-2012,Ammapettai,13.7079
16-08-2012,Ammapettai,0.0
17-08-2012,Ammapettai,3.2934
