Date,Temp_C,T_max_C,T_min_C,Humidity_pct,Wind_Speed_kmh,Solar_Rad_Wm2,Rain_Ammapettai,Rain_Budalur,Rain_Kumbakonam,Rain_Madukkur,Rain_Orathanadu,Rain_Papanasam,Rain_Pattukkottai,Rain_Peravurani,Rain_Sethubhavachatram,Rain_Thanjavur,Rain_Thirukattupalli,Rain_Thiruppanandal,Rain_Thiruvaiyaru,Rain_Thiruvidaimarudur
01-01-2012,24.538,28.5177,20.057,85.4133,4.0203,181.1491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3611,0.0,1.3611
02-01-2012,24.9086,29.0726,21.6119,85.0077,4.9451,168.8048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03-01-2012,25.3362,29.1062,22.1389,83.6476,6.9535,170.149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04-01-2012,25.6703,29.1457,22.9751,83.4382,9.4141,175.9621,1.217,1.0031,0.2761,3.9588,0.9781,1.217,3.9588,4.2527,4.2527,1.3782,1.0031,0.2492,1.0031,0.2492
05-01-2012,25.3818,29.2061,22.6953,83.3817,8.8262,205.7718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06-01-2012,24.8695,28.869,21.5466,82.0325,8.9101,186.9911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
07-01-2012,24.5946,28.4597,21.9154,77.4969,9.0645,211.8569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0128,0.0128,0.0,0.0,0.0,0.0,0.0
08-01-2012,24.7521,28.2244,22.168,84.5936,8.1449,159.4429,7.2518,6.2026,8.7072,9.2499,6.2015,7.2518,9.2499,9.7596,9.7596,6.0262,6.2026,9.8818,6.2026,9.8818
09-01-2012,25.3824,28.9447,22.4218,84.3921,6.8891,187.611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10-01-2012,24.981,28.9738,21.7411,84.846,6.2516,204.0967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11-01-2012,24.8206,28.4507,21.9836,77.0992,6.6438,186.273,0.0,0.1243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1243,0.0,0.1243,0.0
12-01-2012,24.6621,28.0402,21.7812,74.8922,9.2075,196.9896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13-01-2012,24.1952,27.6472,21.492,77.3046,12.5944,187.4829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14-01-2012,23.2802,27.3892,18.7615,70.3347,12.7947,205.4874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15-01-2012,22.0626,26.6221,17.9794,65.8629,10.8508,235.0736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16-01-2012,21.8813,26.7807,17.2349,68.2167,8.4454,235.9685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17-01-2012,21.8152,27.2808,16.1657,70.183,5.5565,243.0884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18-01-2012,22.2272,28.1045,15.1917,70.4564,2.9583,262.1605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19-01-2012,22.4519,28.3147,15.7958,71.4871,3.4761,261.5725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20-01-2012,22.9629,28.9555,16.2936,73.1578,4.146,259.9562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
