Date,Temp_C,Dew_Point_C,Humidity_pct,Rainfall_mm,Wind_Speed_kmh,Wind_Dir_deg,Pressure_hPa,Solar_Rad_Wm2,UV_Index
01-01-12,25.667,21.556,79,0,14.806,102.1,1011.6,244.7,9
02-01-12,26.944,22.722,79,0,11.104,92.2,1011.8,246.5,9
03-01-12,26.833,23.056,80.6,0,14.806,61.2,1011.5,253.6,9
04-01-12,26.444,23.333,83.9,1.016,18.346,62.5,1011.7,244.6,9
05-01-12,27.222,23.111,79.4,0,14.806,66.1,1013.3,250.6,9
06-01-12,26.778,22.722,79.9,0,18.346,57.8,1014.2,245.5,9
07-01-12,26,22.333,81.1,0,19.151,62,1015.1,239.1,8
08-01-12,25.833,22.778,83.8,3.327,23.335,59.3,1014.5,228.4,8
09-01-12,26.444,22.778,81.3,0.508,18.346,73.3,1013,237.6,8
10-01-12,26.833,21.833,75.7,0,14.806,92.2,1012.1,258.1,9
11-01-12,25.944,21.889,79.2,0.102,11.104,70.5,1012.7,251,9
12-01-12,26.056,21.778,78.1,0.508,18.346,71.2,1012.8,248.4,9
13-01-12,25.722,21.444,78.4,17.247,22.37,61,1013.3,246.3,9
14-01-12,25.556,19.667,71.5,0.076,25.91,49.4,1012.9,251.2,9
15-01-12,23.444,17.056,69.1,0,25.91,45.3,1012.3,265.2,9
16-01-12,23.222,16.944,69.9,0,16.254,56.2,1011.4,258.4,9
17-01-12,23.556,17.333,70.2,0,12.231,57.3,1010.5,263.3,9
18-01-12,23.889,18.333,73.2,0,10.3,77.2,1009.9,270.1,9
19-01-12,24.056,17.889,71.1,0,14.806,87.5,1009.9,272,9
20-01-12,24.389,17.944,69.7,0,13.84,90.9,1010.8,269.6,9
21-01-12,24.611,18.444,70.6,0,13.036,59.4,1010.9,267.3,9
22-01-12,24.889,17.5,65.4,0,18.99,69.4,1012.8,263.6,9
23-01-12,24.333,17.944,69.5,0,20.6,62.4,1013.2,242,8
24-01-12,24.222,18.222,71,0,18.346,48.9,1012.9,227.9,8
25-01-12,24.444,17.278,66.4,0,18.346,56.2,1012.1,260.4,9
26-01-12,24.611,18.222,69.9,0,22.37,56.3,1012.1,255.5,9
27-01-12,25.722,19.944,72.6,0,16.576,61,1011.9,249.7,9
28-01-12,26,20.611,74.2,0,20.6,70.7,1011.4,264.9,9
29-01-12,26,19.278,68.9,0,18.346,65.4,1011.1,263.7,9
30-01-12,25.889,18.889,67.2,0,18.346,64.3,1011.9,267.3,9
31-01-12,24.389,20.333,78.7,3.505,22.37,53.7,1013.2,264.2,9
01-02-12,25.5,19.333,70.8,0,25.91,49.3,1013.1,256.6,9
02-02-12,25,19.056,71.9,0.051,25.91,49.3,1013.7,247.7,9
03-02-12,25.944,19.722,70.2,0,28.003,50.3,1013.5,253.9,9
04-02-12,25.889,19.556,69.7,0,22.37,54.1,1013,258.6,9
05-02-12,25.889,19.778,71.2,0,22.37,57.4,1012.7,201.2,7
06-02-12,26.389,21.333,75.1,0,18.346,47.5,1012.2,152.4,6
07-02-12,27.333,21.444,72,0,20.6,60.8,1011.5,260.7,9
08-02-12,26.944,21.111,71.9,0,17.22,66.4,1011,237.6,9
09-02-12,27.722,22.222,73.6,0,25.91,85.9,1010.2,222.5,9
10-02-12,27.556,22.333,74.5,0,18.346,73.1,1010.7,210.5,8
11-02-12,27.722,21.611,71.3,0,22.37,80.7,1011.2,174.3,6
12-02-12,27.222,21.333,72.3,0,17.059,63.6,1011.8,267.5,10
13-02-12,27.556,20.833,69.2,0,20.6,77.4,1012.3,281.1,10
14-02-12,27,20.556,70.3,0,20.6,71.7,1012.3,278,10
15-02-12,26.722,20.833,72,0,11.265,79.7,1011.4,260.7,9
16-02-12,28,21.444,69.9,0,16.576,85.9,1009.6,266.9,9
