Date,Temp_C,T_max_C,T_min_C,Humidity_pct,Wind_Speed_kmh,Solar_Rad_Wm2
01-01-2012,24.538,28.5177,20.057,85.4133,4.0203,181.1491
02-01-2012,24.9086,29.0726,21.6119,85.0077,4.9451,168.8048
03-01-2012,25.3362,29.1062,22.1389,83.6476,6.9535,170.149
04-01-2012,25.6703,29.1457,22.9751,83.4382,9.4141,175.9621
05-01-2012,25.3818,29.2061,22.6953,83.3817,8.8262,205.7718
06-01-2012,24.8695,28.869,21.5466,82.0325,8.9101,186.9911
07-01-2012,24.5946,28.4597,21.9154,77.4969,9.0645,211.8569
08-01-2012,24.7521,28.2244,22.168,84.5936,8.1449,159.4429
09-01-2012,25.3824,28.9447,22.4218,84.3921,6.8891,187.611
10-01-2012,24.981,28.9738,21.7411,84.846,6.2516,204.0967
11-01-2012,24.8206,28.4507,21.9836,77.0992,6.6438,186.273
12-01-2012,24.6621,28.0402,21.7812,74.8922,9.2075,196.9896
13-01-2012,24.1952,27.6472,21.492,77.3046,12.5944,187.4829
14-01-2012,23.2802,27.3892,18.7615,70.3347,12.7947,205.4874
15-01-2012,22.0626,26.6221,17.9794,65.8629,10.8508,235.0736
16-01-2012,21.8813,26.7807,17.2349,68.2167,8.4454,235.9685
17-01-2012,21.8152,27.2808,16.1657,70.183,5.5565,243.0884
18-01-2012,22.2272,28.1045,15.1917,70.4564,2.9583,262.1605
19-01-2012,22.4519,28.3147,15.7958,71.4871,3.4761,261.5725
20-01-2012,22.9629,28.9555,16.2936,73.1578,4.146,259.9562
21-01-2012,22.8255,28.648,17.5912,73.1935,7.4756,248.4066
22-01-2012,22.8647,28.1347,17.7797,70.5186,8.836,245.9198
23-01-2012,22.8996,28.1152,18.1968,68.9849,9.3738,206.8114
24-01-2012,23.1833,28.711,17.8854,65.936,8.6519,236.7124
25-01-2012,22.9522,28.3301,18.3041,64.8297,8.2063,237.8974
26-01-2012,23.8087,28.9969,18.8504,67.164,9.4744,224.7091
27-01-2012,24.4059,28.7645,20.3763,72.4883,7.9384,192.8968
28-01-2012,24.285,29.2826,19.6767,71.1298,9.1451,206.7383
29-01-2012,24.1523,29.6417,18.9966,67.0062,9.0248,227.194
30-01-2012,24.3217,29.1882,19.8828,67.428,10.1433,204.2528
31-01-2012,24.158,27.2312,20.8694,73.143,11.6963,185.0619
01-02-2012,24.6302,29.0865,20.2145,65.2081,12.5397,244.1515
02-02-2012,25.1719,29.859,20.9492,64.5363,13.8187,251.2922
03-02-2012,25.266,29.9516,21.7179,65.7939,13.4913,225.8542
04-02-2012,25.0295,30.2803,21.1464,66.3041,10.6411,228.662
05-02-2012,25.5696,30.8578,20.6168,65.8511,9.4266,244.5856
06-02-2012,26.1661,30.2767,22.0724,71.4887,8.5904,195.0918
07-02-2012,26.5296,31.5612,22.7351,70.0365,8.9644,230.4326
08-02-2012,26.4439,31.4886,22.2419,70.4755,7.705,234.915
09-02-2012,26.5612,31.3773,22.2053,73.4975,7.1142,206.2973
10-02-2012,26.1867,30.5513,22.9136,79.557,6.3934,184.2109
11-02-2012,25.9724,30.8661,21.3877,74.464,8.9376,225.1602
12-02-2012,25.6389,31.1404,21.0914,69.332,7.9112,242.6285
13-02-2012,25.6739,31.603,20.7018,67.4521,8.5634,261.5677
