crop_id,crop_name,season,stage_name,L_days,Kc_ini,Kc_mid,Kc_end,Kc,Zr_min_m,Zr_max_m,Zr_stage_m,p_fraction,GDD_start,GDD_end,Stage_Critical,Tbase_C
1,paddy,Kharif,Initial,30,1.05,1.2,0.9,1.05,0.2,0.5,0.2,0.2,0,420,0,10.0
1,paddy,Kharif,Development,30,1.05,1.2,0.9,1.125,0.2,0.5,0.35,0.2,420,840,0,10.0
1,paddy,Kharif,Mid,60,1.05,1.2,0.9,1.2,0.2,0.5,0.5,0.2,840,1680,1,10.0
1,paddy,Kharif,Late,30,1.05,1.2,0.9,0.9,0.2,0.5,0.5,0.2,1680,2100,0,10.0
2,sugarcane,All,Initial,35,0.4,1.25,0.75,0.4,1.2,2.0,1.2,0.65,0,490,0,16.0
2,sugarcane,All,Development,60,0.4,1.25,0.75,0.825,1.2,2.0,1.6,0.65,490,1330,0,16.0
2,sugarcane,All,Mid,190,0.4,1.25,0.75,1.25,1.2,2.0,2.0,0.65,1330,3990,1,16.0
2,sugarcane,All,Late,120,0.4,1.25,0.75,0.75,1.2,2.0,2.0,0.65,3990,5670,0,16.0
3,banana,All,Initial,120,0.5,1.1,1.0,0.5,0.5,0.9,0.5,0.35,0,1680,0,14.0
3,banana,All,Development,60,0.5,1.1,1.0,0.8,0.5,0.9,0.7,0.35,1680,2520,0,14.0
3,banana,All,Mid,180,0.5,1.1,1.0,1.1,0.5,0.9,0.9,0.35,2520,5040,1,14.0
3,banana,All,Late,5,0.5,1.1,1.0,1.0,0.5,0.9,0.9,0.35,5040,5110,0,14.0
4,coconut,All,Initial,60,0.9,1.0,1.0,0.9,0.9,1.5,0.9,0.5,0,840,0,15.0
4,coconut,All,Development,60,0.9,1.0,1.0,0.95,0.9,1.5,1.2,0.5,840,1680,0,15.0
4,coconut,All,Mid,180,0.9,1.0,1.0,1.0,0.9,1.5,1.5,0.5,1680,4200,1,15.0
4,coconut,All,Late,60,0.9,1.0,1.0,1.0,0.9,1.5,1.5,0.5,4200,5040,0,15.0
5,tapioca,All,Initial,60,0.3,1.05,0.9,0.3,0.5,1.0,0.5,0.5,0,840,0,16.0
5,tapioca,All,Development,90,0.3,1.05,0.9,0.675,0.5,1.0,0.75,0.5,840,2100,0,16.0
5,tapioca,All,Mid,120,0.3,1.05,0.9,1.05,0.5,1.0,1.0,0.5,2100,3780,1,16.0
5,tapioca,All,Late,60,0.3,1.05,0.9,0.9,0.5,1.0,1.0,0.5,3780,4620,0,16.0
6,mango,All,Initial,60,0.9,1.05,1.05,0.9,1.0,3.0,1.0,0.5,0,840,0,15.0
6,mango,All,Development,90,0.9,1.05,1.05,0.975,1.0,3.0,2.0,0.5,840,2100,0,15.0
6,mango,All,Mid,120,0.9,1.05,1.05,1.05,1.0,3.0,3.0,0.5,2100,3780,1,15.0
6,mango,All,Late,60,0.9,1.05,1.05,1.05,1.0,3.0,3.0,0.5,3780,4620,0,15.0
7,blackgram,Kharif,Initial,15,0.4,1.05,0.6,0.4,0.4,0.6,0.4,0.45,0,225,0,15.0
7,blackgram,Kharif,Development,25,0.4,1.05,0.6,0.725,0.4,0.6,0.5,0.45,225,600,0,15.0
7,blackgram,Kharif,Mid,35,0.4,1.05,0.6,1.05,0.4,0.6,0.6,0.45,600,1125,1,15.0
7,blackgram,Kharif,Late,20,0.4,1.05,0.6,0.6,0.4,0.6,0.6,0.45,1125,1425,0,15.0
8,greengram,Kharif,Initial,15,0.4,1.05,0.6,0.4,0.4,0.6,0.4,0.45,0,225,0,15.0
8,greengram,Kharif,Development,25,0.4,1.05,0.6,0.725,0.4,0.6,0.5,0.45,225,600,0,15.0
8,greengram,Kharif,Mid,35,0.4,1.05,0.6,1.05,0.4,0.6,0.6,0.45,600,1125,1,15.0
8,greengram,Kharif,Late,15,0.4,1.05,0.6,0.6,0.4,0.6,0.6,0.45,1125,1350,0,15.0
9,gingelly,Kharif,Initial,15,0.35,1.1,0.5,0.35,0.6,1.2,0.6,0.6,0,210,0,15.0
9,gingelly,Kharif,Development,25,0.35,1.1,0.5,0.725,0.6,1.2,0.9,0.6,210,560,0,15.0
9,gingelly,Kharif,Mid,35,0.35,1.1,0.5,1.1,0.6,1.2,1.2,0.6,560,1050,1,15.0
9,gingelly,Kharif,Late,25,0.35,1.1,0.5,0.5,0.6,1.2,1.2,0.6,1050,1400,0,15.0
10,brinjal,All,Initial,30,0.6,1.05,0.9,0.6,0.7,1.2,0.7,0.45,0,390,0,15.0
10,brinjal,All,Development,40,0.6,1.05,0.9,0.825,0.7,1.2,0.95,0.45,390,910,0,15.0
10,brinjal,All,Mid,40,0.6,1.05,0.9,1.05,0.7,1.2,1.2,0.45,910,1430,1,15.0
10,brinjal,All,Late,20,0.6,1.05,0.9,0.9,0.7,1.2,1.2,0.45,1430,1690,0,15.0
11,cashew,All,Initial,60,0.65,0.85,0.85,0.65,1.0,3.0,1.0,0.5,0,840,0,15.0
11,cashew,All,Development,90,0.65,0.85,0.85,0.75,1.0,3.0,2.0,0.5,840,2100,0,15.0
11,cashew,All,Mid,120,0.65,0.85,0.85,0.85,1.0,3.0,3.0,0.5,2100,3780,1,15.0
11,cashew,All,Late,60,0.65,0.85,0.85,0.85,1.0,3.0,3.0,0.5,3780,4620,0,15.0
12,cotton,Kharif,Initial,30,0.35,1.2,0.7,0.35,1.0,1.7,1.0,0.65,0,420,0,15.0
12,cotton,Kharif,Development,50,0.35,1.2,0.7,0.775,1.0,1.7,1.35,0.65,420,1120,0,15.0
12,cotton,Kharif,Mid,60,0.35,1.2,0.7,1.2,1.0,1.7,1.7,0.65,1120,1960,1,15.0
12,cotton,Kharif,Late,55,0.35,1.2,0.7,0.7,1.0,1.7,1.7,0.65,1960,2730,0,15.0
