Date,block,SSM_m3m3
04-01-15,Ammapettai,0.222818088
05-01-15,Ammapettai,0.223997364
06-01-15,Ammapettai,0.240497136
07-01-15,Ammapettai,0.210315591
08-01-15,Ammapettai,0.3022793
09-01-15,Ammapettai,0.213459464
10-01-15,Ammapettai,0.454365372
11-01-15,Ammapettai,0.433885022
12-01-15,Ammapettai,0.388646298
04-02-15,Ammapettai,0.231262841
05-02-15,Ammapettai,0.21564082
06-02-15,Ammapettai,0.1931463
07-02-15,Ammapettai,0.234679174
08-02-15,Ammapettai,0.249553615
09-02-15,Ammapettai,0.262567146
10-02-15,Ammapettai,0.268250093
11-02-15,Ammapettai,0.483517908
12-02-15,Ammapettai,0.382862288
04-03-15,Ammapettai,0.294379898
05-03-15,Ammapettai,0.178929379
06-03-15,Ammapettai,0.173898249
07-03-15,Ammapettai,0.284605762
08-03-15,Ammapettai,0.211656126
09-03-15,Ammapettai,0.323537635
10-03-15,Ammapettai,0.370977965
11-03-15,Ammapettai,0.419494837
12-03-15,Ammapettai,0.36175479
04-04-15,Ammapettai,0.220686809
05-04-15,Ammapettai,0.218498098
06-04-15,Ammapettai,0.188517992
07-04-15,Ammapettai,0.226550927
08-04-15,Ammapettai,0.304886494
09-04-15,Ammapettai,0.23655834
10-04-15,Ammapettai,0.392277172
11-04-15,Ammapettai,0.415400664
12-04-15,Ammapettai,0.357066439
13-04-15,Ammapettai,0.32722825
14-04-15,Ammapettai,0.285184006
15-04-15,Ammapettai,0.271983774
16-04-15,Ammapettai,0.228016672
17-04-15,Ammapettai,0.200786341
18-04-15,Ammapettai,0.378849153
19-04-15,Ammapettai,0.277193804
20-04-15,Ammapettai,0.205698122
21-04-15,Ammapettai,0.247261382
22-04-15,Ammapettai,0.271965102
23-04-15,Ammapettai,0.249643564
24-04-15,Ammapettai,0.25623316
25-04-15,Ammapettai,0.197939396
26-04-15,Ammapettai,0.329571527
27-04-15,Ammapettai,0.259501
28-04-15,Ammapettai,0.184395211
29-04-15,Ammapettai,0.287199935
30-04-15,Ammapettai,0.301801362
04-05-15,Ammapettai,0.230222
05-05-15,Ammapettai,0.360162706
06-05-15,Ammapettai,0.175740706
07-05-15,Ammapettai,0.303825045
08-05-15,Ammapettai,0.293683755
09-05-15,Ammapettai,0.251971731
10-05-15,Ammapettai,0.389591418
11-05-15,Ammapettai,0.485844728
12-05-15,Ammapettai,0.322789242
14-05-15,Ammapettai,0.184929901
15-05-15,Ammapettai,0.320374845
16-05-15,Ammapettai,0.246234573
17-05-15,Ammapettai,0.327063927
18-05-15,Ammapettai,0.184148856
19-05-15,Ammapettai,0.320740302
20-05-15,Ammapettai,0.261119566
21-05-15,Ammapettai,0.241191336
22-05-15,Ammapettai,0.295986415
23-05-15,Ammapettai,0.19435666
