block,Sand_fraction,Clay_fraction,SOC_pct,pH,Ksat_mmday
Ammapettai,0.414331,0.288097,0.220744,6.218239,5.0
Budalur,0.399316,0.299437,0.224352,6.485632,5.0
Kumbakonam,0.412349,0.296262,0.226788,6.17445,5.0
Madukkur,0.411335,0.309237,0.235447,6.19521,5.0
Orathanadu,0.448215,0.29041,0.213495,6.083572,5.0
Papanasam,0.414331,0.288097,0.220744,6.218239,5.0
Pattukkottai,0.411335,0.309237,0.235447,6.19521,5.0
Peravurani,0.438203,0.285458,0.232021,6.185752,5.0
Sethubhavachatram,0.438203,0.285458,0.232021,6.185752,5.0
Thanjavur,0.4528,0.285396,0.195618,6.477361,5.0
Thirukattupalli,0.399316,0.299437,0.224352,6.485632,5.0
Thiruppanandal,0.410143,0.299074,0.232141,6.164916,5.0
Thiruvaiyaru,0.399316,0.299437,0.224352,6.485632,5.0
Thiruvidaimarudur,0.410143,0.299074,0.232141,6.164916,5.0
